,Algorithm,Dataset,alpha,Coverage,Length
133,cox_ph_alg_2,rr_nl_nph,0.7,0.7875999999999999,13.926139770962388
134,cox_ph_alg_2,rr_nl_nph,0.7,0.7650999999999999,13.23744202403328
135,cox_ph_alg_2,rr_nl_nph,0.7,0.7807999999999999,13.504229781999973
136,cox_ph_alg_2,rr_nl_nph,0.7,0.7528999999999999,14.05645291986243
137,cox_ph_alg_2,rr_nl_nph,0.7,0.6823,13.111480577552317
138,cox_ph_alg_2,rr_nl_nph,0.7,0.7943000000000001,14.46158997611329
139,cox_ph_alg_2,rr_nl_nph,0.7,0.7206,14.233858994544812
140,cox_cc_alg_1,rr_nl_nph,0.7,0.6954999999999998,10.846946544789912
141,cox_cc_alg_1,rr_nl_nph,0.7,0.6911,11.907666544789915
142,cox_cc_alg_1,rr_nl_nph,0.7,0.6793,11.456206544789918
143,cox_cc_alg_1,rr_nl_nph,0.7,0.7242000000000001,11.524936544789917
144,cox_cc_alg_1,rr_nl_nph,0.7,0.6727,10.861986544789916
145,cox_cc_alg_1,rr_nl_nph,0.7,0.7044,10.726056544789914
146,cox_cc_alg_1,rr_nl_nph,0.7,0.6849,12.214956544789915
147,cox_cc_alg_1,rr_nl_nph,0.7,0.6441,12.125626544789917
148,cox_cc_alg_1,rr_nl_nph,0.7,0.7189,12.495896544789915
149,cox_cc_alg_1,rr_nl_nph,0.7,0.6559,12.079026544789915
150,cox_cc_alg_2,rr_nl_nph,0.7,0.7611999999999999,12.949200821891552
151,cox_cc_alg_2,rr_nl_nph,0.7,0.7717000000000002,14.664411383867197
152,cox_cc_alg_2,rr_nl_nph,0.7,0.7404,13.335799876726705
153,cox_cc_alg_2,rr_nl_nph,0.7,0.7908999999999999,13.915582077513207
154,cox_cc_alg_2,rr_nl_nph,0.7,0.7701,13.17900785951608
155,cox_cc_alg_2,rr_nl_nph,0.7,0.7842999999999999,13.307836784709039
156,cox_cc_alg_2,rr_nl_nph,0.7,0.7458,13.978393845489391
157,cox_cc_alg_2,rr_nl_nph,0.7,0.6864000000000001,13.34371453409443
158,cox_cc_alg_2,rr_nl_nph,0.7,0.7961,14.765562402284267
159,cox_cc_alg_2,rr_nl_nph,0.7,0.7167999999999999,13.768830950644624
160,cox_ph_alg_1,metabric,0.7,0.8846875,274.58080208333325
161,cox_ph_alg_1,metabric,0.7,0.8585416666666665,260.7660474853516
162,cox_ph_alg_1,metabric,0.7,0.8248958333333333,262.46267231114706
163,cox_ph_alg_1,metabric,0.7,0.9410416666666666,277.01743335469564
164,cox_ph_alg_1,metabric,0.7,0.8353125,259.4693080355326
165,cox_ph_alg_1,metabric,0.7,0.8726041666666667,273.8225104166666
166,cox_ph_alg_1,metabric,0.7,0.8929166666666667,276.9359648119609
167,cox_ph_alg_1,metabric,0.7,0.8359375,247.96181249999995
168,cox_ph_alg_1,metabric,0.7,0.8635416666666668,266.2760581715902
169,cox_ph_alg_1,metabric,0.7,0.8738541666666665,272.66838143285116
170,cox_ph_alg_2,metabric,0.7,0.9238541666666666,
171,cox_ph_alg_2,metabric,0.7,0.8943749999999998,
